Author,LexicalDiversity,MeanWordLen,MeanSentenceLen,StdevSentenceLen,MeanParagraphLen,DocumentLen,Commas,Semicolons,Quotes,Exclamations,Colons,Dashes,Mdashes,Ands,Buts,Howevers,Ifs,Thats,Mores,Musts,Mights,This,Verys,ReviewId,ReviewId2,ReviewScore
33913,51.5254,4.66447,19.1333,9.79024,287,1413,27.1186,0.0,0,3.38983,0.0,0.0,0,37.2881,10.1695,0.0,3.38983,10.1695,3.38983,0.0,0.0,16.9492,0.0,490485,444584,1.0
33913,48.8421,4.90948,19.25,10.635,462,2319,27.3684,0.0,0,4.21053,0.0,0.0,0,25.2632,6.31579,0.0,2.10526,8.42105,2.10526,0.0,0.0,6.31579,0.0,490043,123366,1.0
33913,49.1166,4.79137,15.1667,8.56511,273,1335,10.6007,0.0,0,7.06714,0.0,0.0,0,38.8693,10.6007,0.0,3.53357,14.1343,10.6007,0.0,0.0,10.6007,7.06714,490772,117509,1.0
33913,56.229,4.90419,16.2778,12.2738,293,1449,77.4411,0.0,0,0.0,0.0,0.0,0,23.569,3.367,0.0,0.0,0.0,0.0,0.0,0.0,3.367,3.367,490415,169455,2.0
33913,52.809,5.07979,15.2609,7.55396,351,1763,22.4719,0.0,0,5.61798,0.0,0.0,0,28.0899,8.42697,0.0,0.0,8.42697,2.80899,0.0,0.0,2.80899,0.0,490180,1191056,2.0
33913,50.6787,4.76786,14.9655,6.69268,434,2065,29.4118,0.0,0,0.0,0.0,0.0,0,20.362,4.52489,0.0,4.52489,15.8371,0.0,0.0,0.0,13.5747,2.26244,490230,388795,2.0
33913,56.9892,4.79874,14.8333,8.18705,267,1313,10.7527,0.0,0,3.58423,0.0,0.0,0,25.0896,7.16846,0.0,0.0,7.16846,0.0,3.58423,0.0,14.3369,0.0,489825,257295,2.0
33913,56.6667,4.99346,13.7895,8.03007,262,1343,44.4444,0.0,0,3.7037,0.0,0.0,0,40.7407,3.7037,0.0,0.0,7.40741,7.40741,3.7037,0.0,7.40741,0.0,490100,1086761,2.0
33913,51.3736,5.07487,15.1739,8.62076,349,1832,13.7363,0.0,0,2.74725,0.0,0.0,0,49.4505,10.989,0.0,2.74725,5.49451,0.0,0.0,0.0,13.7363,2.74725,490337,157246,2.0
33913,60.5809,4.69863,15.9333,6.45463,239,1201,24.8963,0.0,0,0.0,0.0,0.0,0,24.8963,4.14938,0.0,4.14938,4.14938,4.14938,4.14938,0.0,12.4481,0.0,490338,461721,2.0
